type,id,bnf_code,nm
amp,21912111000001107,0205051AAAAAAAA,Perindopril tosilate 2.5mg tablets (Teva UK Ltd)
amp,21927111000001101,0205051AAAAAAAA,Perindopril tosilate 2.5mg tablets (A A H Pharmaceuticals Ltd)
amp,29983911000001108,0205051AAAAAAAA,Perindopril tosilate 2.5mg tablets (Sigma Pharmaceuticals Plc)
amp,21912411000001102,0205051AAAAABAB,Perindopril tosilate 5mg tablets (Teva UK Ltd)
amp,21927511000001105,0205051AAAAABAB,Perindopril tosilate 5mg tablets (A A H Pharmaceuticals Ltd)
amp,29984111000001107,0205051AAAAABAB,Perindopril tosilate 5mg tablets (Sigma Pharmaceuticals Plc)
amp,21912711000001108,0205051AAAAACAC,Perindopril tosilate 10mg tablets (Teva UK Ltd)
amp,21927711000001100,0205051AAAAACAC,Perindopril tosilate 10mg tablets (A A H Pharmaceuticals Ltd)
amp,29983711000001106,0205051AAAAACAC,Perindopril tosilate 10mg tablets (Sigma Pharmaceuticals Plc)
amp,21911811000001109,0205051ABAAAAAA,Perindopril tosilate 5mg / Indapamide 1.25mg tablets (Teva UK Ltd)
amp,21927911000001103,0205051ABAAAAAA,Perindopril tosilate 5mg / Indapamide 1.25mg tablets (A A H Pharmaceuticals Ltd)
amp,23971811000001107,0205051ACAAAAAA,Perindopril erbumine 4mg / Amlodipine 5mg tablets (Consilient Health Ltd)
amp,24603111000001106,0205051ACAAAAAA,Perindopril erbumine 4mg / Amlodipine 5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,24618711000001103,0205051ACAAAAAA,Perindopril erbumine 4mg / Amlodipine 5mg tablets (A A H Pharmaceuticals Ltd)
amp,23972111000001105,0205051ACAAABAB,Perindopril erbumine 4mg / Amlodipine 10mg tablets (Consilient Health Ltd)
amp,24603311000001108,0205051ACAAABAB,Perindopril erbumine 4mg / Amlodipine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,24618911000001101,0205051ACAAABAB,Perindopril erbumine 4mg / Amlodipine 10mg tablets (A A H Pharmaceuticals Ltd)
amp,23972411000001100,0205051ACAAACAC,Perindopril erbumine 8mg / Amlodipine 10mg tablets (Consilient Health Ltd)
amp,24603711000001107,0205051ACAAACAC,Perindopril erbumine 8mg / Amlodipine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
